,value,category
67, show me flights from boston to denver on wednesday,travel
68, show me the flights from boston to baltimore,travel
69, what does fare code q mean,travel
70, please give me the flights from san francisco to washington dc,travel
71, i need information from denver to pittsburgh,travel
72, from seattle to salt lake city,travel
73, what is the earliest flight from boston to bwi that serves a snack,travel
74, what types of aircraft does delta fly,travel
75, what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth,travel
76, give me the flights leaving denver august ninth coming back to boston,travel
77, list all the flights that fly into general mitchell international,travel
78, what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday,travel
79, list all flights from indianapolis to seattle,travel
80, in flight meal oakland to philadelphia saturday,travel
81, show me the flights on twa from atlanta in the morning,travel
82, i want to find the first flight from baltimore to boston that serves a meal,travel
83, of all airlines which airline has the most arrivals in atlanta,travel
84, display all flights from baltimore to boston on july twenty ninth,travel
85, i want to travel from atlanta to baltimore early in the morning first flight,travel
86, i now need a flight from san jose to houston leaving on sunday the fourth,travel
87, what are the flights available after 6 pm between san francisco and boston,travel
88, what flights depart baltimore on friday and arrive in san francisco by 8 pm,travel
89, show me flights from boston to san francisco,travel
90, list the delta airlines flights from boston to philadelphia,travel
91, show me the fares from dallas to san francisco,travel
92, what nonstop flights between boston and washington arrive after 4 o'clock pm,travel
93, what is the distance from los angeles international airport to los angeles,travel
94, ground transportation in san jose,travel
95, please tell me how many nonstop flights there are from boston to atlanta,travel
96, on the earliest flight from san francisco to atlanta on delta is a meal being served,travel
97, where does canadian airlines international fly,travel
98, what flights from denver to pittsburgh arrive before 8 in the morning,travel
99, find me the earliest flight from boston to atlanta,travel
100, list nonstop flights from houston to dallas which arrive before midnight,travel
101, show me the flights from boston to san francisco that stop in atlanta,travel
102, show me flights to san francisco from philadelphia stopping in dallas,travel
103, what city is the airport mco in,travel
104, how much does it cost to rent a car in tacoma,travel
105, show me flights from baltimore to dallas,travel
106, show me a list of ground transportation at denver,travel
107, i'd like a flight from columbus to phoenix stopping in cincinnati and serving dinner what's available,travel
108, also show me flights from san francisco to pittsburgh on tuesday,travel
109, show flights from dallas to oakland,travel
110, give me the cheapest flight from charlotte to long beach,travel
111, show me all flights from san francisco to pittsburgh,travel
112, find me a flight on united from boston to san francisco with a stopover in denver,travel
113, show me the last flight from love field,travel
114, what flights go from newark to boston after 5 pm,travel
115, what are all the flights from boston to dallas,travel
116, what is the earliest flight departing san francisco and arriving in boston on november ninth,travel
117, what is the earliest flight flying from pittsburgh to atlanta on july fifth,travel
118, please list available flights for next saturday from philadelphia to dallas,travel
119, what flights leave pittsburgh and arrive in los angeles after 5 pm on thursday,travel
120, what is the transportation time from the airport to boston,travel
121, which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth,travel
122, what are the nonstop flights on america west or southwest air from kansas city to burbank on saturday may twenty two,travel
123, what are the classes of service for american airlines,travel
124, i would like to find out what flights there are on friday june eleventh from st. petersburg to milwaukee and then from milwaukee to tacoma thank you,travel
125, all flights from boston to washington dc on november tenth,travel
126, what are the flights from denver to san francisco,travel
127, on the 8 am flight from san francisco to atlanta what type of aircraft is used,travel
128, which flight is a one way fare at 329 dollars from denver to pittsburgh,travel
129, what flights leave baltimore for boston after 6 o'clock on friday,travel
130, okay i need to get a flight from houston to seattle,travel
131, please list flights between denver and boston,travel
132, find me the flights that are nonstop between boston and dallas that leave between 12 and 2 in the afternoon,travel
133, i would like some information on flights leaving boston to atlanta,travel
134, show me the latest nonstop flight from denver to washington dc,travel
135, what are the flights from dallas to baltimore,travel
136, i would like a nonstop flight from new york to las vegas on march second,travel
137, no i want to go from denver to oakland,travel
138, show me all the night fares between philadelphia and san francisco,travel
139, what kinds of ground transportation is available in dallas fort worth,travel
140, can you show me economy class one way fares for flights from oakland to dallas on december sixteenth,travel
141, what is fare code qw,travel
142, i'd like a flight on july ninth from orlando to kansas city in the afternoon,travel
143, what are the coach fares from charlotte to la wednesday night,travel
144, is there ground transportation available in denver,travel
145, show me flights from philadelphia to oakland on friday,travel
146, i would like to know the flights available from boston to denver arriving in denver by 8 o'clock wednesday morning,travel
147, i would like to fly the cheapest rate available from pittsburgh to atlanta on wednesday morning,travel
148, list the flight from philadelphia to san francisco on american airlines,travel
149, flights from memphis to las vegas on sunday,travel
150, what is the first flight from atlanta to boston on thursday september fifth that leaves after 8 am,travel
151, what is the first class fare on united flight 352 from denver to boston,travel
152, flight from philadelphia to dallas arriving before 4 pm on saturday,travel
153, list flights tomorrow from san diego to phoenix,travel
154, show me all flights from san francisco to washington dc area,travel
155, sure i want to go from philadelphia to dallas,travel
156, show me all the united airlines flights leaving dallas,travel
157, can you list all the flights between phoenix and las vegas,travel
158, list all flights from baltimore to philadelphia,travel
159, round trip flights from minneapolis to san diego coach economy fare,travel
160, i want to fly from boston to denver and i don't want any stopovers and i'd like to fly only during the afternoon,travel
161, flights from denver to baltimore between 10 am and 2 pm,travel
162, show me the flights from denver to atlanta,travel
163, what flights are there on delta from boston to dallas,travel
164, what kind of ground transportation can you offer me in seattle,travel
165, leaving washington going to san francisco the latest flight,travel
166, show me the flights available from atlanta to baltimore leaving atlanta in the morning,travel
167, round trip fares new york to san jose,travel
168, which flights are serviced by american airlines,travel
169, how do i get from pittsburgh airport to downtown pittsburgh,travel
170, does midwest express serve charlotte,travel
171, what flights from houston to milwaukee on friday in the evening on american airlines,travel
172, what is the earliest flight going from san francisco to dallas on monday august nineteenth,travel
173, what flights from atlanta to st. louis on tuesday arriving around 230 pm,travel
174, i need a flight from kansas city to chicago that leaves wednesday and arrives in chicago around 7 pm,travel
175, i would like information on any flights from pittsburgh to san francisco leaving thursday evening,travel
176, i need a cheap flight from baltimore to san francisco,travel
177, what is the cost of a first class ticket from baltimore to dallas,travel
178, what is the economy thrift fare from boston to washington,travel
179, list the nonstop flights early tuesday morning from dallas to atlanta,travel
180, what is the earliest flight you have that leaves philadelphia to dallas,travel
181, are there any flights from dallas fort worth to boston leaving before 10 am,travel
182, show me all the flights to baltimore after 6 o'clock pm,travel
183, i need a return flight from philadelphia to boston,travel
184, united airlines flights stopping in denver before noon,travel
185, show me the car rentals in baltimore,travel
186, what flights go from newark to boston after 1024 in the morning,travel
187, shortest evening flight from tampa to cincinnati,travel
188, how much time does it take to go between the airport and downtown by ground transportation in dallas,travel
189, flights from boston to pittsburgh,travel
190, i'd like to fly continental airlines between boston and philadelphia,travel
191, i would like to book a flight on continental airlines from chicago to seattle on june first,travel
192, all flights from pittsburgh to dallas round trip after 12 pm less than 100,travel
193, show me flights on sunday going from san francisco to boston nonstop first class leaving after 12 noon,travel
194, from las vegas to phoenix,travel
195, show me flights from pittsburgh to atlanta on monday afternoon,travel
196, show me the flight with the smallest seating capacity which leaves pittsburgh and arrives in baltimore on june fourteenth,travel
197, show all flights from boston to denver on july thirty first,travel
198, are there any flights before 12 noon on june fifteenth from long beach to columbus,travel
199, list daily flights from boston to atlanta,travel
200, on a flight from san francisco to atlanta that leaves before 8 am is there such a flight,travel
201, on united airlines give me the flight times from boston to dallas,travel
202, ground transportation minneapolis,travel
203, show me airline abbreviations,travel
204, how many flights does delta have with a class of service code f,travel
205, please list all the arriving and departing flights from general mitchell international,travel
206, i would like to see the flights from denver to philadelphia please,travel
207, does eastern airlines fly early in the morning between logan and bwi,travel
208, what flights leave phoenix on american airlines,travel
209, can you list all the airlines that have flights from boston to san francisco,travel
210, flights from nashville to orlando daily,travel
211, show me first class flights from pittsburgh to san francisco on friday,travel
212, i need the earliest flight from denver to boston that serves dinner,travel
213, from toronto to atlanta in the afternoon,travel
214, please list the friday afternoon flights from san jose to dallas on american airlines,travel
215, is there ground transportation in boston from the airport,travel
216, show first flight from pittsburgh to atlanta on wednesday,travel
217, i'm sorry i wanted to fly twa is there a flight between oakland and boston with a stopover in dallas fort worth on twa,travel
218, show me all flights from san francisco to la guardia nonstop,travel
219, what flights are there from pittsburgh to los angeles,travel
220, what kind of ground transportation is there in washington dc,travel
221, what is the least expensive flight available from dallas fort worth to san francisco,travel
222, what does the fare code f mean,travel
223, what's the most expensive way i can fly to washington,travel
224, what flights from houston to milwaukee on friday on american airlines,travel
225, what is the schedule of ground transportation from the airport in philadelphia into downtown,travel
226, show me a list of flights from san francisco to boston for august thirtieth,travel
227, show me the least expensive flight from miami to cleveland on sunday after noon,travel
228, how much does it cost to go from downtown to logan airport,travel
229, what flights are there from newark to tampa,travel
230, i want a flight from philadelphia to dallas that at least has one stop,travel
231, show flights from denver to oakland arriving between 12 and 1 o'clock,travel
232, what is the fare from san francisco to dallas fort worth on delta flight 852,travel
233, flights from newark new jersey to cleveland ohio,travel
234, give me flights from denver to baltimore,travel
235, show the flights from denver to san francisco,travel
236, show me flights denver to washington dc on thursday,travel
237, please list the thursday morning flights from st. louis to st. paul,travel
238, what flight do you have from pittsburgh to san francisco on the morning of august twenty seventh,travel
239, what are the flights from boston to atlanta,travel
240, what flights from baltimore to san francisco arrive before 8 pm in san francisco,travel
241, show me the flights from pittsburgh to san francisco for thursday night or friday,travel
242, get me a first class flight on american to san francisco on tuesday next week,travel
243, ground transportation in westchester county,travel
244, what flights are there from atlanta to baltimore,travel
245, i'd like to fly from dallas to san francisco at approximately 615 pm,travel
246, list the fares of us air flights from boston to philadelphia,travel
247, list flights from phoenix to detroit on thursday june twenty fourth,travel
248, what flights from miami to indianapolis on sunday,travel
249, now show me the flights from memphis to cleveland,travel
250, can you give me information on all the flights from san francisco no from pittsburgh to san francisco on monday,travel
251, could you find me a flight from boston to san francisco that stops in denver,travel
252, flights from cleveland to miami,travel
253, give me the flights from pittsburgh to los angeles thursday evening,travel
254, please list all of the flights leaving atlanta heading to baltimore after 8 pm wednesday and before 9 am thursday,travel
255, show me flights from seattle to san francisco that leave after 5 pm,travel
256, show me the flights that go from tacoma to miami,travel
257, which airline can fly me from atlanta to denver to san francisco,travel
258, are there any flights from denver to pittsburgh with stops in atlanta,travel
259, list all the flights that arrive at general mitchell international,travel
260, what is fare code h,travel
261, what flights from salt lake city to new york city arrive next saturday before 6 pm,travel
262, flights from nashville to seattle,travel
263, show me fares from seattle to minneapolis,travel
264, i need a flight from boston to san francisco via dallas fort worth,travel
265, i'd like an afternoon flight from atlanta to san francisco with a stopover in denver arriving i'd say about mealtime,travel
266, show me the most expensive one way flight from detroit to westchester county,travel
267, show me the flights from baltimore to philadelphia,travel
268, from denver to washington dc on monday november eleventh 1991,travel
269, please list all the flights from boston to denver which serve meals,travel
270, list aircraft types that fly between boston and san francisco,travel
271, what does fare code qw mean,travel
272, i'm interested in a flight on american airlines from dallas to washington,travel
273, give me flights from pittsburgh to baltimore,travel
274, how much is a round trip fare from indianapolis to seattle,travel
275, what is the cheapest flight from long beach to memphis,travel
276, which airline provides business class flights,travel
277, pittsburgh to denver,travel
278, which airlines fly between boston and pittsburgh,travel
279, list the flights arriving in atlanta from baltimore before noon on august fourth,travel
280, give me the flights for american airline from philadelphia to dallas,travel
281, i need a flight this sunday from miami to las vegas and i would prefer a morning flight,travel
282, flights from boston to pittsburgh,travel
283, which flights go from pittsburgh to atlanta in the evening,travel
284, show me the fares from dallas to san francisco,travel
285, give me american airlines flights from milwaukee to phoenix on saturday and on sunday,travel
286, list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia,travel
287, show me the flights from baltimore to oakland,travel
288, show me the earliest flight from denver to las vegas,travel
289, show me flights from milwaukee to orlando on wednesday night,travel
290, may i have a listing of flights from milwaukee to tacoma washington departing in the evening,travel
291, what morning flights do you have between oakland and denver,travel
292, i'd like a flight from washington that stops in denver and goes on to san francisco,travel
293, show me all flights from pittsburgh to baltimore tomorrow,travel
294, all one way flights between boston and philadelphia,travel
295, what flights go to san francisco from boston,travel
296, what flights are there from san francisco to philadelphia daily with economy class,travel
297, first flights from pittsburgh to atlanta on a thursday,travel
298, show me the flights from baltimore to atlanta,travel
299, tell me about flights from toronto to salt lake city leaving after 530 pm,travel
300, show me the flights from indianapolis to orlando with round trip fares less than 1288,travel
301, i need a flight from boston to pittsburgh that leaves early in the morning,travel
302, what is the first flight from atlanta to baltimore that serves lunch,travel
303, show me the flights from pittsburgh to baltimore,travel
304, all flights from denver to philadelphia,travel
305, oakland to philadelphia saturday,travel
306, give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee,travel
307, show me flights on monday from philadelphia to boston after 7 am,travel
308, show me all the flights leaving baltimore,travel
309, show me the flights from philadelphia to boston,travel
310, is there a plane from boston to washington,travel
311, i need to go from boston to atlanta and back in the same day find me the earliest flight from boston,travel
312, what are flights between boston and pittsburgh on august tenth,travel
313, what are the schedule of flights from boston to san francisco for august first,travel
314, show me one way flights from milwaukee to orlando wednesday,travel
315, show me all flights from pittsburgh to baltimore tomorrow which serve a meal,travel
316, give me flights on american airlines from milwaukee to phoenix,travel
317, show all flights from pittsburgh to san francisco,travel
318, i wish to fly from boston to washington please find an airline for me,travel
319, please list the flights from dallas fort worth to dc baltimore on july twenty third,travel
320, which flights from memphis to tacoma also stop in los angeles,travel
321, show me the flights on tuesday morning from charlotte to baltimore,travel
322, i need 2 first class tickets from dallas fort worth to san francisco,travel
323, are there any flights from philadelphia to dallas which stop in atlanta,travel
324, flights to baltimore,travel
325, what does mco stand for,travel
326, what is the least expensive way to fly from philadelphia to san francisco,travel
327, list all nonstop flights from los angeles to pittsburgh before 5 pm on tuesday,travel
328, how many booking classes are there,travel
329, flight numbers from columbus to minneapolis tomorrow,travel
330, give me the continental flights from chicago to seattle on friday,travel
331, what are the united airlines flights between baltimore and denver on august twelfth,travel
332, show me the flights next tuesday between philadelphia and san francisco,travel
333, find a flight on american airlines from boston to san francisco that makes a stopover in denver,travel
334, show me the fares on all flights round trip from pittsburgh to oakland,travel
335, what's the difference between fare code q and fare code f,travel
336, flights from cincinnati to salt lake city,travel
337, ground transportation denver,travel
338, show me flights from denver to washington dc on wednesdays,travel
339, find a flight between denver and oakland the flight should be in the afternoon and arrive close to 5 pm the flight should be nonstop,travel
340, show me all flights from atlanta to washington with prices,travel
341, flights between new york and miami,travel
342, please list the monday morning flights from kansas city to atlanta,travel
343, list all american airlines flights from phoenix to milwaukee which arrive on wednesday after 4 pm,travel
344, what round trip tickets are there from cleveland to miami on us air that arrive before 4 pm,travel
345, i'd like to go from boston to denver at 9 o'clock saturday night,travel
346, show me the northwest flights from detroit to st. petersburg,travel
347, what is the available ground transportation between the airport in denver and downtown,travel
348, on may four atlanta to denver delta flight 257,travel
349, show me all flights from indianapolis,travel
350, which airlines have flights between philadelphia and pittsburgh,travel
351, which are the flights from denver to baltimore or washington dc,travel
352, list the number of flights leaving boston for dallas fort worth before 9 am in the morning,travel
353, are there delta flights leaving atlanta,travel
354, can you list all round trip flights from orlando to kansas city and then to minneapolis,travel
355, i would like to find a flight from kansas city to salt lake city on delta and arriving at about 8 o'clock in the evening could you please tell me the aircraft and the flight number thank you,travel
356, i would like a flight from washington to boston leaving at 230 on august twentieth,travel
357, how much is a flight from washington to boston,travel
358, show me all flights from orlando to san diego on a boeing 737,travel
359, what flights are there on sunday from seattle to minneapolis,travel
360, where is mco,travel
361, show me all flights from pittsburgh to atlanta,travel
362, which united airlines flight flies across this continent and leaves from boston goes to dallas and makes a stopover in philadelphia,travel
363, list daily flights of united airline from denver to baltimore with first class service,travel
364, show me flights from pittsburgh to atlanta on monday morning,travel
365, all flights phoenix to sfo,travel
366, i want to travel from washington dc to philadelphia on tuesday morning,travel
367, what is the fare going from atlanta to boston one way on november seventh,travel
368, is there a flight on american airlines from boston to denver,travel
369, what flights are available from san francisco to pittsburgh on thursday evening,travel
370, do you have an afternoon flight leaving in the afternoon going from boston to san francisco with a stopover in dallas,travel
371, show the flights from pittsburgh to san francisco again on monday,travel
372, show me a list of flights on american airlines from boston to dc on july twenty second,travel
373, now i'd like flights from philadelphia to pittsburgh leaving between 430 and 530 pm,travel
374, what economy flights are available from dallas to baltimore on december seventeenth,travel
375, please show me flights from san francisco to dallas,travel
376, please show me all the flights from indianapolis to san diego tomorrow,travel
377, what does flight code us mean,travel
378, i would like a flight from denver to pittsburgh,travel
379, what is the flight schedule of the f28 from pittsburgh to baltimore,travel
380, looking for a flight from dc to minnesota,travel
381, how many us air flights leave from washington,travel
382, show me times for flights from san francisco to atlanta,travel
383, what flights are there on wednesday evening or thursday morning from denver to sfo,travel
384, how many flights go from dallas to baltimore on july nineteenth,travel
385, could you show me all the flights from oakland to salt lake city,travel
386, find me a flight from boston to san francisco with layover in denver on united,travel
387, what flights are available between boston and washington arriving in washington at 630,travel
388, show me the airlines between toronto and denver,travel
389, what flights do you have between pittsburgh and atlanta,travel
390, show me the flights from denver to westchester county,travel
391, i need information for a flight from denver to atlanta,travel
392, what is the cheapest flight from boston to atlanta,travel
393, what is the cheapest flight from atlanta to pittsburgh one way,travel
394, show me all overnight flights from washington dc to san francisco and list their fares,travel
395, round trip flights between new york and miami,travel
396, show me the one way flight from detroit to westchester county with the highest fare,travel
397, what flights are there from newark to chicago on continental,travel
398, i'm trying to make a connection between denver and san francisco does delta airline fly between those two,travel
399, what is the latest us air flight leaving philadelphia and returning to boston,travel
400, what flights does us air have from san francisco to pittsburgh on tuesday,travel
401, can i fly from boston to baltimore washington,travel
402, what is mco,travel
403, flights from las vegas to phoenix,travel
404, i would like to leave around 7 o'clock in the morning,travel
405, show me fares from baltimore to philadelphia,travel
406, flights from memphis to seattle,travel
407, please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast,travel
408, flights from atlanta august second,travel
409, does american airlines fly from atlanta to philadelphia,travel
410, yes i'd like a flight from long beach to st. louis by way of dallas,travel
411, i'd like to know if you have any flights from denver to philadelphia,travel
412, what are the cheapest one way flights from atlanta to denver,travel
413, what is the first flight after 12 noon from washington for denver,travel
414, how many delta flights leave from washington,travel
415, now list for me only the united flights that flight from oakland to boston,travel
416, from philadelphia to toronto,travel
417, i am interested in a flight on american airlines from dallas to washington,travel
418, what airplane types fly from pittsburgh to baltimore,travel
419, what is the yn code,travel
420, i would like the earliest morning flight from atlanta to philadelphia on wednesday morning,travel
421, how many seats in a 100,travel
422, may i have a listing of flights from long beach to columbus ohio on tuesday,travel
423, what flights leave from phoenix to nashville on american airlines,travel
424, show me all round trips from new york to miami leaving on tuesday,travel
425, list all nonstop flights on sunday from tampa to charlotte,travel
426, list all flights from burbank to denver,travel
427, what are the round trip fares for flights from denver to philadelphia arriving after 1700 on continental,travel
428, i'd like to see flights from baltimore to atlanta,travel
429, please show me the flights from las vegas to detroit on the twenty eighth,travel
430, what is ord,travel
431, what type of ground transportation is available between the airport and downtown san francisco,travel
432, is the american flight 813 from boston to oakland a nonstop flight,travel
433, give me the flights from washington dc to philadelphia for december second,travel
434, show all connecting flights from pittsburgh to oakland,travel
435, list daily flights from boston to oakland using twa,travel
436, i would like the least expensive airfare flight on sunday to pittsburgh from san francisco,travel
437, i need a flight from san diego to indianapolis leaving in the afternoon on tuesday,travel
438, can you give me the evening flight on wednesday from washington to atlanta again,travel
439, i would like to book a flight from los angeles to pittsburgh on june first,travel
440, what flights from atlanta to washington,travel
441, show me all flights direct only from boston to san francisco or oakland that arrive before 10 am local time,travel
442, first class round trip airfare from indianapolis to memphis,travel
443, flights from cincinnati to denver on american airlines,travel
444, list all flights on continental leaving denver on sunday after 2134,travel
445, show me all flights from charlotte,travel
446, show me all nationair flights from toronto,travel
447, what are the fares from newark to la monday and wednesday,travel
448, show me flights from denver to atlanta on june sixteenth,travel
449, please show me round trip tickets from denver to oakland,travel
450, list all flights on united from san francisco to boston with fare code qx,travel
451, how many flights does twa have in business class,travel
452, list all flights going from boston to atlanta after 6 o'clock on wednesday and before 7 o'clock am on thursday,travel
453, show me the flights to love field,travel
454, show me flights from pittsburgh to philadelphia,travel
455, show me the flights from philadelphia to atlanta,travel
456, philadelphia to dallas arriving before 1 in the afternoon,travel
457, i need a flight from tampa to montreal,travel
458, please give me flights leaving san francisco and going to pittsburgh,travel
459, what do you have from philadelphia to dallas on saturday morning,travel
460, flight leaving from oakland to salt lake city,travel
461, tell me about flights on american airlines from dallas fort worth to philadelphia on june twenty ninth,travel
462, list all flights from boston to san francisco with the maximum number of stops,travel
463, are there any flights from atlanta to denver,travel
464, what are the flights dallas to boston on monday morning,travel
465, show me flights leaving from denver colorado to pittsburgh pennsylvania on wednesdays after 5 pm,travel
466, i need flight information between atlanta and boston,travel
467, what are my choices of flights from las vegas to new york,travel
468, what is the cheapest flight from boston to san francisco,travel
469, on continental airlines any class service from san francisco to pittsburgh,travel
470, find the cheapest flight from denver to atlanta with a stopover in pittsburgh,travel
471, what are the lowest one way fares from atlanta to denver,travel
472, are there any flights from boston to san francisco stopping in denver,travel
473, flights from kansas city to cleveland on wednesday,travel
474, how much is a round trip fare from memphis to seattle,travel
475, show me the flights into love field,travel
476, i'd like to fly from philadelphia to dallas through atlanta,travel
477, information on flights from pittsburgh to philadelphia,travel
478, what flights does american airlines fly from philadelphia to dallas,travel
479, i want to travel from kansas city to chicago round trip leaving wednesday june sixteenth arriving in chicago at around 7 o'clock in the evening and returning the next day arriving in kansas city at around 7 o'clock in the evening which airlines fly that route,travel
480, i would like the time of all flights from san francisco to pittsburgh on sunday,travel
481, show me ground transportation in dallas please,travel
482, are there any nonstop flights leaving from denver arriving in baltimore on july seventh,travel
483, how much does dl 746 cost,travel
484, what is the earliest flight from boston to san francisco on american airlines,travel
485, please list ground transport in san francisco,travel
486, i need a flight from ontario to los angeles on a thursday,travel
487, show me flights from all airports to love field,travel
488, list the flights from pittsburgh to san francisco on thursday,travel
489, what flights are available from denver to baltimore first class on united airlines arriving may seventh before noon,travel
490, which airlines are represented in the database,travel
491, which flight between pittsburgh and baltimore on july nineteenth has the smallest seating capacity,travel
492, list all trans world airline flights from indianapolis to houston that arrive in houston between 1030 am and 1130 am,travel
493, what flights are there from new york city to las vegas,travel
494, is there ground transportation from san diego airport to the downtown area,travel
495, shortest morning flights from cincinnati to tampa,travel
496, what's the last flight from houston to dallas,travel
497, is there a flight from charlotte to newark on tuesday evening,travel
498, what is airline us,travel
499, what's the lowest round trip fare from dallas to atlanta,travel
500, find me the earliest flight from boston to atlanta on any day of the week,travel
501, display all flights from boston to baltimore on july thirty first,travel
502, economy fares new york to miami round trip,travel
503, i need to fly from boston to denver on to san francisco and back,travel
504, i wish to book a flight from pittsburgh to atlanta coach discount fare,travel
505, show me flights to dallas from san francisco and atlanta and pittsburgh,travel
506, tell me distance from orlando airport to the city,travel
507, hi i need to get a flight from memphis to salt lake city departing before 10 am,travel
508, what is the cheapest fare i can get from dallas to denver,travel
509, i would like a flight from philadelphia to dallas arrive dallas about 12 noon,travel
510, us air next wednesday from cleveland to miami,travel
511, could you please find me the cheapest one way fare from boston to philadelphia,travel
512, i'd like a flight from detroit to st. petersburg for tuesday,travel
513, return from miami to new york on tower air on saturdays,travel
514, show me ground transportation in san francisco,travel
515, please give me the earliest flight tomorrow from st. petersburg to milwaukee,travel
516, i need ground transportation in dallas please show me what's available,travel
517, what's fare code yn,travel
518, the cheapest flights from atlanta to philadelphia that arrive after 12 pm on a tuesday,travel
519, is there an early morning delta airlines flight between boston and washington,travel
520, what flights from orlando to tacoma on saturday,travel
521, show me all flights both direct and connecting from dallas fort worth to either san francisco or oakland that depart after 7 pm,travel
522, give me flights from chicago to seattle on saturday morning,travel
523, okay tell me what the earliest flight is that leaves between atlanta and denver,travel
524, i want a flight from toronto to montreal that leaves early friday morning,travel
525, what first class flights are available from denver to baltimore on july twenty fifth 1991,travel
526, show me the airlines from love field,travel
527, what's the cheapest one way ticket from baltimore to atlanta,travel
528, a first class flight on american to san francisco on tuesday in the next week,travel
529, what airlines fly between boston and san francisco and stop in denver,travel
530, what're the flights from new york city to las vegas that arrive on a sunday,travel
531, flights on friday from newark to tampa,travel
532, flights from san francisco august one,travel
533, how many stops on continental 1765 from boston to san francisco,travel
534, on flight us air 2153 from san francisco to baltimore what time and what city does the plane stop in between,travel
535, i need a flight from st. petersburg to charlotte which will get me into charlotte by 5 pm or as soon thereafter as possible,travel
536, i want a one way ticket from dallas to baltimore,travel
537, find me the latest flight leaving atlanta august seventh and arriving in denver,travel
538, what's the lowest one way fare from pittsburgh to denver,travel
539, show me flights from los angeles to pittsburgh on monday evening,travel
540, show me the flights from san francisco to washington dc,travel
541, show me flights from pittsburgh to philadelphia,travel
542, show me the shortest flight from boston to denver which arrives in denver wednesday before noon,travel
