Unnamed: 0,value,category
4522, please list all flights that leave denver before noon on northwest airlines,travel
1510, list flights from denver to san francisco no denver to philadelphia,travel
4328, which flights are between boston and baltimore washington,travel
245, i'd like to fly from dallas to san francisco at approximately 615 pm,travel
1163, thank you for that information now i would like information on a flight on april sixteen from atlanta to philadelphia early in the morning,travel
2317, what flights leave from phoenix to anywhere,travel
266, show me the most expensive one way flight from detroit to westchester county,travel
2856, what type of ground transportation is available at logan airport,travel
1114, what is the cheapest one way ticket from denver to pittsburgh,travel
63, which airlines have first class flights today,travel
2569, does the philadelphia airport have a name,travel
4350, what flights are there from atlanta to oakland on thursday with in flight meals,travel
4580, explain fare code qx,travel
4093, how long is a trip from philadelphia airport to downtown philadelphia,travel
3096, what does nw stand for,travel
4084, i'd like a flight tomorrow late from nashville to houston with dinner please,travel
2977, i'd like to fly from boston to san francisco,travel
2240, what is your last trip from washington to boston on august twenty seventh,travel
2034, show me the flights on continental from indianapolis to san diego in the afternoon tomorrow,travel
1627, i'm looking for a flight from boston to denver that has no stopovers and is only in the afternoon,travel
1237, show me the flights from pittsburgh to baltimore,travel
103, what city is the airport mco in,travel
2620, please show me flights available from pittsburgh to atlanta on a weekday,travel
272, i'm interested in a flight on american airlines from dallas to washington,travel
508, what is the cheapest fare i can get from dallas to denver,travel
2473, which nonstop flight from atlanta to oakland leaves in the afternoon and arrives at 5 pm,travel
4910, list flights from pittsburgh to los angeles which leave on thursday after 5 pm,travel
2280, is there a red eye flight from san jose to nashville on wednesday the nineteenth of may,travel
865, what is the latest flight between washington and boston,travel
2413, flights between boston and philadelphia that arrive after 2 o'clock and before 5 o'clock on tuesday,travel
908, show me all the flights from charlotte to cleveland,travel
2095, give me the flights from salt lake city to new york city arriving before 6 pm,travel
3864, flights from baltimore to philadelphia please,travel
4585, can you tell me the time a flight would leave from atlanta to boston in the afternoon,travel
1522, does delta airlines fly from pittsburgh to atlanta,travel
835, what airlines go from atlanta to baltimore,travel
358, show me all flights from orlando to san diego on a boeing 737,travel
138, show me all the night fares between philadelphia and san francisco,travel
299, tell me about flights from toronto to salt lake city leaving after 530 pm,travel
1556, i need to take ten people from denver to phoenix please give me the flights during the week,travel
1003, is there a flight leaving san francisco to denver,travel
382, show me times for flights from san francisco to atlanta,travel
941, how many first class flights does delta have today,travel
1876, what is the ground transportation available in denver,travel
3716, show me the flights from boston to pittsburgh leaving wednesdays and thursdays,travel
761, airlines that fly to miami from new york on friday,travel
4315, i need a flight from atlanta to baltimore and this flight should arrive at 7 pm please,travel
2259, i would like to see flights from denver to philadelphia,travel
2527, show all united flights between boston and philadelphia,travel
2067, on monday i would like to travel from charlotte north carolina to phoenix arizona i would like to arrive in phoenix before 4 pm,travel
2178, round trip fares from denver to philadelphia under 1000 dollars,travel
898, show me all the northwest flights from new york to milwaukee that leave at 720 am,travel
3967, what are the fares for flights from charlotte to newark on tuesday and wednesday,travel
4775, flights from new york to miami,travel
1402, find travel arrangements for a round trip flight from dallas to pittsburgh arriving after 8 pm before 10 pm,travel
3548, show flights from new york city to las vegas,travel
3753, san francisco to denver,travel
4366, what is the latest flight available between san francisco and boston,travel
3347, what flights are there from indianapolis to orlando,travel
1512, show me the flights from chicago to indianapolis,travel
1188, i need a flight from san francisco to pittsburgh from pittsburgh to new york and then new york to san francisco,travel
4181, list all flights going from boston to atlanta after 6 o'clock pm on wednesday,travel
3355, show me the flights from boston to philadelphia,travel
3844, show me your flights from atlanta to denver on june fourth,travel
3407, what are the flights from kansas city to burbank on saturday may twenty two on southwest,travel
108, also show me flights from san francisco to pittsburgh on tuesday,travel
2710, how much does flight ua 270 from denver to philadelphia cost,travel
2288, show me the most expensive one way first class fare from baltimore to dallas,travel
4509, what airline is ac,travel
58, i need to know information for flights leaving dallas on tuesday evening and returning to atlanta,travel
76, give me the flights leaving denver august ninth coming back to boston,travel
796, show me all flights from dallas to pittsburgh on monday which leave after 8 o'clock pm,travel
368, is there a flight on american airlines from boston to denver,travel
4883, fly from denver to philadelphia on continental,travel
785, i'd like a flight tomorrow from kansas city to newark in the morning,travel
2211, what is the cost for a one way trip from pittsburgh to atlanta,travel
1918, what flights go from pittsburgh to newark after 823 in the morning,travel
3841, i want a flight from houston to memphis on tuesday morning,travel
4055, what times does the late afternoon flight leave from washington for denver,travel
3503, what airlines have business class service between boston and san francisco,travel
4133, does midwest express serve indianapolis,travel
1669, okay i just want to know the cheapest fare from atlanta to boston,travel
121, which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth,travel
1807, give me a flight from tampa to charlotte on sunday,travel
2348, what is the last flight from atlanta to boston,travel
3611, please list the flights from washington dc to atlanta,travel
910, do all the flights to oakland land at the same place,travel
124, i would like to find out what flights there are on friday june eleventh from st. petersburg to milwaukee and then from milwaukee to tacoma thank you,travel
2581, i'd like to fly from denver to pittsburgh to atlanta could you find me the cheapest way to do this,travel
1586, what is the ap 57 restriction,travel
1257, list the flights from houston to st. paul,travel
3411, show me flights from baltimore to philadelphia arriving after 2100,travel
3450, can you give me the latest flight from atlanta to denver on july seventh,travel
4713, us 3724 baltimore to philadelphia what is the round trip fare,travel
1178, what northwest airline flights leave denver before noon,travel
3439, is there a flight from denver to san francisco on continental airlines leaving after 12 o'clock in the afternoon,travel
2314, what flights are from memphis to las vegas,travel
3395, please list flights between san francisco and denver,travel
442, first class round trip airfare from indianapolis to memphis,travel
2700, what is the earliest flight you have leaving boston heading to philadelphia,travel
3312, show me round trip first class tickets from new york to miami,travel
925, i would like a flight from pittsburgh to san francisco on august twentieth,travel
2311, i'm sorry i want to book a flight from atlanta to denver colorado,travel
2242, i'd like a flight on american from newark to nashville,travel
4748, what ground transportation is available in denver,travel
1411, afternoon flights from boston to san francisco please that leave in the afternoon,travel
4716, show me all flights from phoenix to milwaukee on wednesday,travel
1714, show me flights from milwaukee to orlando on wednesday evening or thursday mornings,travel
1509, show me all daily flights between milwaukee and orlando,travel
1227, i would like a flight from kansas city to st. paul departing at 4 pm,travel
3733, what flights stop in atlanta before noon,travel
2634, do you have a flight from atlanta to baltimore nonstop on a boeing 757 arriving baltimore around 7 pm,travel
4173, show me all first class fares from new york to miami leaving on a tuesday,travel
3253, i'd like a flight from kansas city to los angeles that arrives in los angeles in the late afternoon,travel
324, flights to baltimore,travel
3055, which flights go from philadelphia to san francisco,travel
2302, what flights do you have in the morning of september twentieth on united airlines from pittsburgh to san francisco and a stopover in denver,travel
1864, how many different flight classes are there,travel
3271, i need information on flights from kansas city missouri to salt lake city utah i am interested in only those flights on delta airlines,travel
3011, please show me airlines with flights from boston to denver,travel
1498, do you have a twa flight leaving early in the morning to san francisco from denver,travel
1502, i would like to find the cheapest one way fare from boston to oakland,travel
1006, cheapest fare from indianapolis to seattle,travel
2173, i'm interested in a flight from pittsburgh to atlanta,travel
4848, flights from phoenix to las vegas,travel
4427, i want a flight on continental airlines leaving san francisco california arriving pittsburgh pennsylvania,travel
1467, i would like to schedule a flight on american airlines from philadelphia to san francisco that makes a stop in denver,travel
1225, what flights are there from new york city to las vegas,travel
2236, which airlines fly between boston and baltimore,travel
2531, show me all the flights from toronto on nationair,travel
1973, what kind of ground transportation is there in philadelphia,travel
1216, i want to leave boston at 838 and arrive in denver at 1110 in the morning,travel
3944, do you have ground transportation between airport and downtown in boston,travel
3717, show fares and flights from denver to oakland,travel
420, i would like the earliest morning flight from atlanta to philadelphia on wednesday morning,travel
3392, give me the flights from new york city to las vegas on sunday and the flights from memphis to las vegas on sunday,travel
6, show me the flights from pittsburgh to los angeles on thursday,travel
932, i need to fly from boston to denver and then to san francisco and back to boston,travel
1691, please list the sunday flights from dallas to houston on american airlines,travel
439, i would like to book a flight from los angeles to pittsburgh on june first,travel
1313, what flight from denver to pittsburgh arrives earliest in the morning,travel
678, flights from oakland to san francisco,travel
4280, i would like to fly from atlanta to denver on september fifteenth,travel
4589, pm flights dallas to atlanta,travel
4824, i would like a morning flight from milwaukee to denver colorado please,travel
3750, is there a nonstop flight from denver to san francisco,travel
4612, i want a flight from denver to atlanta,travel
2103, what is the latest flight leaving las vegas for ontario,travel
2495, what airlines are ac and as,travel
4732, what are the round trip flights from philadelphia to san francisco,travel
3576, let's see how much would a direct flight from atlanta to denver be on may seventh,travel
4476, is us air,travel
4225, show me the airlines that fly from toronto to boston,travel
2754, show me the flights from all airports to love field,travel
2617, what is the cheapest one way fare from pittsburgh to atlanta traveling on tuesday august twentieth,travel
194, from las vegas to phoenix,travel
1474, i'd like to know the earliest flight from boston to san francisco,travel
4048, pittsburgh to atlanta please with a stopover in fort worth,travel
1211, find a flight from san francisco to boston on wednesday,travel
2417, i'd like a ticket on a plane from denver to atlanta i would like a coach class or lowest fare ticket,travel
1657, please give me all the flights from long beach california to memphis tennessee,travel
2677, baltimore to philadelphia wednesday,travel
2995, is there ground transportation from the boston airport to downtown boston,travel
3509, what kind of airplanes are used by delta airlines flying between washington and denver,travel
4740, all flights from long beach to phoenix,travel
3554, what is the cost of flights from denver to san francisco,travel
3830, do you have a flight from boston to san francisco with a stopover in fort worth dallas,travel
1130, what are the flights from pittsburgh to baltimore,travel
1461, i want all flights from atlanta to washington dc on thursday,travel
276, which airline provides business class flights,travel
3043, show me prices and times for first class travel from baltimore to dallas next summer,travel
2614, please show me all the flights from denver to oakland that are nonstop,travel
2276, list all flights from pittsburgh to philadelphia,travel
1302, show me the flights into love field,travel
3673, is there a flight between oakland and boston with a stopover in dallas fort worth on twa,travel
222, what does the fare code f mean,travel
3464, i want to leave chicago next tuesday and arrive in detroit around 6 pm,travel
3568, how do i get from bwi to washington,travel
573, list daily flights from boston to oakland using united airlines,travel
1236, show me all flights from pittsburgh to boston both direct and connecting that depart pittsburgh after 7 pm,travel
4257, show me flights from boston to denver early am on tuesday,travel
2114, please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast,travel
1334, minneapolis to phoenix on monday,travel
2436, does any airline offer dc10 service between denver and boston,travel
418, what airplane types fly from pittsburgh to baltimore,travel
3901, what are the flights from boston to san francisco,travel
1104, list the flights from baltimore to seattle that stop in minneapolis,travel
257, which airline can fly me from atlanta to denver to san francisco,travel
295, what flights go to san francisco from boston,travel
3098, i need to fly from pittsburgh to oakland and depart in the afternoon,travel
386, find me a flight from boston to san francisco with layover in denver on united,travel
4044, i want to fly from atlanta to philadelphia nonstop,travel
3066, i'd like to go from boston to san francisco stopping in pittsburgh,travel
3048, what flights leave san francisco on monday night and arrive at atlanta later in the evening,travel
2228, i want a flight from montreal quebec to san diego california that leaves sunday,travel
4316, flights from new york city to montreal,travel
3485, american flights to houston from cincinnati,travel
4771, please list all flights from baltimore to atlanta,travel
4631, what types of meals are available,travel
1563, what flights from cincinnati to tampa,travel
2402, flights from baltimore denver and pittsburgh to philadelphia where the round trip fare for each is less than 1000 dollars,travel
1400, what is the earliest flight on thursday from atlanta to washington dc,travel
712, repeating leaving denver to san francisco before 10 am what type of aircraft is used,travel
2328, please show me all round trip flights from burbank to tacoma,travel
2823, can you show me the flights from baltimore to dallas,travel
209, can you list all the airlines that have flights from boston to san francisco,travel
3911, show me boston ground transportation,travel
1289, i'm looking for ground transportation in dallas,travel
449, please show me round trip tickets from denver to oakland,travel
4059, show me flights from denver to philadelphia,travel
4556, what are the flights from nashville to tacoma on tuesday the eighteenth of may,travel
958, find a flight from philadelphia to san francisco please on delta,travel
1793, what are the flights from san jose to nashville on thursday the twentieth,travel
4279, i want an early morning flight from boston to philadelphia,travel
654, what is the least expensive flight from atlanta to denver leaving on october twelfth,travel
4479, show me the cheapest fare from dallas to baltimore,travel
3820, show me the flights from baltimore to dallas,travel
2583, i want to fly from baltimore to philadelphia,travel
1760, what is the first class fare from baltimore to dallas,travel
2333, can you list the cheapest round trip fare from orlando to kansas city,travel
2718, what does yn stand for,travel
2025, list number of people that can be carried on each type of plane that flies between pittsburgh and baltimore,travel
411, i'd like to know if you have any flights from denver to philadelphia,travel
1774, all flights from montreal less than 150 dollars,travel
3404, american airlines leaving phoenix,travel
2167, i'd like the flights from san jose to nashville on the morning of friday june third,travel
3652, flight from boston to baltimore,travel
2603, i would like to fly from boston to baltimore please tell me what are the times of the flights,travel
4292, what flights are available saturday to san francisco from dallas,travel
4752, list airlines serving between denver and san francisco,travel
3671, what ground transportation is there in atlanta,travel
4305, show me flights from denver to san francisco on wednesday,travel
2643, show me the flights arriving on baltimore on june fourteenth,travel
3528, what ground transportation is there in denver,travel
3339, i'm looking for a flight leaving denver traveling to atlanta and stopping at pittsburgh is this possible,travel
1891, what flights leave after 7 pm from boston to pittsburgh,travel
3539, what flights are available friday afternoon from philadelphia to oakland california,travel
430, what is ord,travel
2899, flight from ontario to orlando that departs 9 hours before arriving,travel
1988, what flights go from dallas to san francisco before 6 o'clock sunday afternoon,travel
1366, what flights are there from dallas to houston,travel
3544, okay on monday may thirty first i'd like to go from san diego to phoenix early in the morning,travel
2827, is there any flight leaving washington around 3 o'clock for denver,travel
1176, on thursday i'd like a flight from st. petersburg to miami,travel
3305, i will need a car at new york,travel
1476, okay i'd like a flight from boston to san francisco that leaves before 8 am,travel
3127, what is the first flight arriving in montreal from toronto friday,travel
2005, show me a list of flights from boston to dc arriving before 9 am on july twenty second,travel
102, show me flights to san francisco from philadelphia stopping in dallas,travel
1878, show me the flights from baltimore to philadelphia,travel
4972, what is the airfare for flights from denver to pittsburgh on delta airline,travel
1263, are there any flights from boston to san francisco which stop in washington dc,travel
2857, name the earliest flight from boston to san francisco,travel
3113, what does fare code y mean,travel
4423, show me the flights from st. petersburg to salt lake city that arrive before noon,travel
4358, what flights go from pittsburgh to newark after 305 in the afternoon,travel
2989, show me the flights from dallas to atlanta,travel
3846, show me all the prices of flights from baltimore to dallas,travel
4540, show all nonstop flights from atlanta to san francisco,travel
2949, ground transportation baltimore,travel
1643, show me all the cheapest fares from new york to miami leaving on tuesday,travel
4485, what ground transportation is available in dallas,travel
0, what flights are available from pittsburgh to baltimore on thursday morning,travel
1580, i'd like flights on american airlines from philadelphia to dallas arriving before 1145 am,travel
4402, please list only united airlines flights between denver and boston,travel
4812, what flight do you have from san francisco to pittsburgh on the evening of august twenty seventh,travel
1356, show all airlines with flights between denver and dallas,travel
3362, what are connecting flights from chicago into seattle on june fifth,travel
2063, what are the flights from montreal to chicago,travel
2215, what flights go from newark to boston after 5 pm,travel
3910, saturday flights from las vegas to montreal,travel
2908, okay i've got somebody else who wants to take a round trip ticket from charlotte to montreal,travel
396, show me the one way flight from detroit to westchester county with the highest fare,travel
3431, how many flights does continental airlines have with a class of service code f,travel
1064, i would like an american flight from toronto to san diego with a stopover in denver please,travel
2339, show flights from dallas to san francisco,travel
2525, list the flights that leave from philadelphia to atlanta early thursday morning before 8 am,travel
818, i would like to find a flight that goes from boston to orlando i would like it to have a stop in new york and i would like a flight that serves breakfast,travel
1812, show me the cities served by nationair,travel
2934, show flights first class on american airlines between dallas and philadelphia,travel
1552, okay i want a flight originating in denver going to pittsburgh,travel
3095, give me a flight from tampa to charlotte on sunday,travel
816, please list the flight schedule from baltimore to san francisco on friday nights,travel
1572, find all flights from philadelphia to dallas stopping in atlanta,travel
2943, what are the rental car rates in dallas,travel
1800, flights from boston flights from philadelphia to boston on monday,travel
4457, show me the flights from salt lake city to st. petersburg on wednesday,travel
381, how many us air flights leave from washington,travel
2850, what flights depart newark for tampa on friday,travel
4734, show flights on us air from pittsburgh to oakland connecting through denver,travel
2274, what types of ground transportation are there to san francisco airport,travel
3473, flight from long beach to columbus on twenty seventh,travel
2290, what flights are there from boston to denver on monday morning,travel
1780, what flights arrive in seattle from on continental,travel
4422, does any airline have a jet flight between pittsburgh and baltimore,travel
2416, flight from nashville back to milwaukee,travel
2312, is there a round trip flight from baltimore to denver connecting in dallas,travel
864, please list all flights from atlanta to baltimore on wednesday and thursday,travel
3585, do you have an early morning direct flight from philadelphia to pittsburgh,travel
3139, what is the smallest aircraft available to fly on from pittsburgh to baltimore,travel
554, i need a united airlines flight from denver to baltimore on saturday,travel
1159, show flights from atlanta to baltimore,travel
1213, what flights are there from newark to seattle on saturday,travel
4030, are there any flights available from baltimore to dallas monday afternoon,travel
3567, what flights are available from dallas to atlanta with one way economy fares,travel
48, i need a flight from charlotte to newark leaving today evening,travel
2346, show me all the united flights from boston to denver,travel
700, what flights are there from phoenix to milwaukee,travel
652, i would like information on ground transportation in the city of atlanta from airport to downtown,travel
3131, what flights from st. paul to kansas city on friday with lunch served,travel
3044, show the flights from milwaukee to orlando on a thursday morning,travel
4434, what are the flights from indianapolis to san diego on wednesday the twelfth,travel
748, show me all meals on flights from atlanta to washington,travel
1455, show me all flights from charlotte to columbus,travel
4176, show me all first class prices from dallas to baltimore,travel
3903, show me flights from baltimore to dallas,travel
1957, what is the cheapest round trip fare from pittsburgh to atlanta,travel
866, explain the restriction ap 57,travel
752, i need a flight delta airlines kansas city to salt lake,travel
1644, show me all flights from ontario to tacoma one way,travel
92, what nonstop flights between boston and washington arrive after 4 o'clock pm,travel
4573, i need ground transportation in seattle,travel
3076, what's the cheapest flight from atlanta to baltimore,travel
2902, i want the flights from denver to pittsburgh,travel
3697, list types of aircraft that fly between boston and san francisco,travel
1490, what is the last flight from washington to boston,travel
4396, i would like information on flights from denver to san francisco after noon on wednesday,travel
4265, list all the airlines that service denver,travel
729, what does ua stand for,travel
2694, list all flights going from boston to atlanta before 7 am on thursday,travel
2450, i'm planning a trip to pittsburgh and i live in denver can you help me,travel
2223, in dallas fort worth i would like information on ground transportation,travel
1745, i'd like to see all the economy fares from baltimore to philadelphia,travel
2463, what is fare class h,travel
4584, what kind of aircraft will i be flying on if i take a first class american airlines flight from philadelphia to dallas,travel
4918, show me the flights from boston to oakland,travel
1110, what airlines fly from boston to denver,travel
3933, show me the cheapest flights from san francisco to philadelphia,travel
4387, what ground transportation is there in atlanta,travel
4451, please show me the flights from atlanta to denver,travel
4329, please give me the united airlines flights from denver to baltimore that are the first class flights please,travel
346, show me the northwest flights from detroit to st. petersburg,travel
1185, please list all flights from dallas to philadelphia on monday,travel
4880, show me all the flights on northwest airlines from new york to milwaukee to los angeles,travel
1515, i'd like to fly from boston to fort worth,travel
4648, find travel arrangements for a round trip flight from baltimore to pittsburgh,travel
578, what are the flights available between 10 am and 3 pm between pittsburgh and fort worth,travel
75, what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth,travel
1429, show me the latest flight from denver to boston,travel
3559, information of a flight from atlanta to pittsburgh,travel
4410, thank you very much now can you help me with information on flights from boston to atlanta,travel
2728, what flights are available from boston to atlanta on july seventh 8 am,travel
4929, please repeat the flight departures for monday august nineteenth from denver to pittsburgh,travel
1846, i'd like a flight from indianapolis to toronto leaving thursday morning nonstop,travel
131, please list flights between denver and boston,travel
178, what is the economy thrift fare from boston to washington,travel
4099, i'd like to fly united airlines from washington to denver,travel
4446, i would like to know the flights that are available leaving out of pittsburgh to san francisco on thursday night after 9 pm,travel
2672, what're the cheapest flights from new york to miami,travel
2499, show me flights from pittsburgh to philadelphia on wednesday morning,travel
1842, philadelphia to boston saturday,travel
3248, show me the flights arriving at love field,travel
2515, flights from pittsburgh to newark,travel
3047, what airlines are there,travel
604, show me all the eastern airlines flights leaving pittsburgh between 12 and 4 in the afternoon,travel
2018, show all flights and fares from pittsburgh to san francisco,travel
25, which airline serves denver pittsburgh and atlanta,travel
658, what flights go from dallas to denver leaving after 3 pm,travel
2002, is there a flight in the afternoon from philadelphia that arrives in the evening in denver,travel
3290, show united flights between pittsburgh and baltimore,travel
4365, anything from baltimore or washington with a stopover in denver going to san francisco,travel
173, what flights from atlanta to st. louis on tuesday arriving around 230 pm,travel
1611, how many flights does each airline have with booking class k,travel
437, i need a flight from san diego to indianapolis leaving in the afternoon on tuesday,travel
331, what are the united airlines flights between baltimore and denver on august twelfth,travel
3075, what is the name of the airport at denver,travel
1454, what does ls stand for,travel
342, please list the monday morning flights from kansas city to atlanta,travel
3173, what is the last flight of the day to leave baltimore for boston,travel
4006, flight information from san francisco to pittsburgh,travel
1088, give me morning flights from charlotte to baltimore,travel
479, i want to travel from kansas city to chicago round trip leaving wednesday june sixteenth arriving in chicago at around 7 o'clock in the evening and returning the next day arriving in kansas city at around 7 o'clock in the evening which airlines fly that route,travel
727, what kind of airplane is flight ua 281 from boston to denver,travel
3751, i want a direct flight from oakland to boston that leaves on a wednesday,travel
976, show me the cheapest fare from dallas to baltimore,travel
3210, list the flights from new york to miami on a tuesday which are nonstop and cost less than 466 dollars,travel
3804, show me round trip fares from new york to miami,travel
4091, what time are flights from denver to san francisco on continental airlines,travel
1468, i'm interested in flying from boston to atlanta,travel
1224, what is the lowest fare from denver to atlanta,travel
2142, show me the cheapest flights round trip from new york to san jose,travel
1952, what is the last flight from san francisco to dallas fort worth,travel
4808, where does flight ua 281 from boston to oakland stop,travel
1892, flights from phoenix to newark,travel
1299, what limousine service is in boston,travel
4071, what are the flights from memphis to tacoma,travel
4578, july seventh what is the cost of a round trip ticket traveling first class on united airlines leaving from denver going to baltimore,travel
660, hello i'd like a delta flight from atlanta to boston,travel
3937, all right would you let me know type of aircraft united airlines is using on the flights from denver to san francisco i would like to know the type of aircraft that they use on these flights before 10 in the morning,travel
2373, flights from cincinnati to dallas departing after 718 am,travel
3745, flights and fares from denver to oakland,travel
2952, what are the flights from orlando to cleveland on us air that arrive around 10 pm,travel
3795, could you tell me about flights from philadelphia to dallas the flights should leave philadelphia in the morning,travel
3809, i'd like a flight tomorrow from columbus to houston with a stopover in nashville,travel
3027, show me flights from pittsburgh to los angeles thursday evening,travel
267, show me the flights from baltimore to philadelphia,travel
2680, pittsburgh to denver,travel
2342, give me the earliest flight tomorrow on northwest airlines from st. petersburg to milwaukee,travel
3470, which delta flights fly from boston to philadelphia,travel
3564, i'm requesting flight information on a flight from san francisco to pittsburgh on friday,travel
3613, list flights from montreal to washington with the lowest one way fares that leaves on saturday,travel
3691, give me the earliest flight tomorrow from st. petersburg to milwaukee on a airline other than twa,travel
3166, show me the morning flights from boston to philadelphia,travel
1278, only show continental flights,travel
4619, explain the fare codes,travel
3046, what are the cost of morning flights from atlanta to baltimore,travel
2655, us air flights departing from charlotte around 1 pm,travel
1621, what flights go from philadelphia to san francisco via dallas,travel
4076, is there a flight between san francisco and boston with a stopover at dallas fort worth,travel
2833, what type of aircraft is used on the flight from atlanta to philadelphia before 12 o'clock noon,travel
1896, how many nonstop flights going from dallas to oakland july twenty seventh,travel
3892, does us air fly from washington dc to denver,travel
2990, show me all flights from denver to san francisco next wednesday which leave after noon,travel
2807, what is the least expensive business class flight between boston and san francisco,travel
67, show me flights from boston to denver on wednesday,travel
3651, what does the fare code f and fn mean,travel
2107, okay i need to see economy flights on united between dallas and baltimore,travel
221, what is the least expensive flight available from dallas fort worth to san francisco,travel
333, find a flight on american airlines from boston to san francisco that makes a stopover in denver,travel
1978, i'd like an early morning weekday flight from san diego to phoenix,travel
4322, what flights go from tampa to charlotte on sunday,travel
3758, please show me all airports in denver,travel
820, okay and then from pittsburgh i'd like to travel to atlanta on september fourth,travel
1226, how long does it take to get from kansas city to st. paul,travel
4532, please give me the cheapest round trip airfare from atlanta to philadelphia on august the first,travel
88, what flights depart baltimore on friday and arrive in san francisco by 8 pm,travel
4092, how about flights from dallas to atlanta on wednesday morning,travel
2847, show me all the flights from san francisco to boston for august thirty first 1991,travel
